"id","name","country","address","created_at"
1,"Domori","it","Via Pinerolo 72/74 - 10060 NONE (TO)","2015-05-23 20:27:55"
2,"Augusta Perusia","it","Via Pinturicchio, 2; 06121 Perugia (Pg)","2015-05-23 20:27:55"
3,"Vetusta Nursia","it","Viale della Stazione n. 41-43; Norcia (PG) 06046","2015-05-23 20:27:55"
4,"Vannucci","it","Voc. Caselle, 286/I - 06059 Pantalla (PG)","2015-05-23 20:27:56"
5,"Sensus","it","Via Giovanni Pascoli, 5; 31027 Spresiano TV","2015-05-23 20:27:56"
6,"Novi","it","Strada Serravalle, 73 - Novi Ligure","2015-05-23 20:27:56"
7,"Venchi","it","Via Cuneo, 45; 12040 Castelletto Stura (CN)","2015-05-23 20:27:56"
8,"Altromercato","it","viale Francia 1/C; 37135 Verona (VR)","2015-05-23 20:27:56"
9,"Quetzal","it","C/so Mazzini, 42 97015 Modica (Rg)","2015-05-23 20:27:56"
10,"Mazzari","it","Via dell'Ippodromo, 62  35129 Padova","2015-05-23 20:27:56"
11,"Schneekoppe","de","Müllerstr. 13 a; 21244 Buchholz / Nordheide","2015-05-23 20:27:56"
12,"Frankonia","de","Daimlerstr. 9; 97209 Veitshöchheim","2015-05-23 20:27:56"
13,"Ritter","de","Alfred-Ritter-Str. 25; D-71111 Waldenbuch","2015-05-23 20:27:56"
14,"Vivani","de","Diebrocker Str. 17; D-32051 Herford","2015-05-23 20:27:56"
15,"Svitoch","ua","pr Shevchenka 10, Lviv","2015-05-23 20:27:56"
16,"Lindt","ch","Seestrasse 204; 8802 Kilchberg","2015-05-23 20:27:56"
17,"Blikle","pl","ul. Nowy Świat 35; 00-029 Warszawa","2015-05-23 20:27:56"
18,"Goplana","pl","ul. Zdrojowa, 1; 62-860 Opatowek","2015-05-23 20:27:56"
19,"Terravita","pl","ul. Szarych Szeregów 23; 60-462 Poznan","2015-05-23 20:27:56"
20,"Carrefour","pl","ul. Targowa 72; 03-734 Warszawa","2015-05-23 20:27:56"
21,"Alpen Gold","pl","ul. Poznanska 50; 62-080 Tarnowo Podgorne","2015-05-23 20:27:56"
22,"Union Chocolate","pl","Al. Racławickie 6; 99-320 Zychlin","2015-05-23 20:27:56"
23,"Krakowski Kredens","pl","ul. Pilotow 6; 30-964 Krakow","2015-05-23 20:27:57"
24,"Wawel","pl","ul. Władysława Warneńczyka 14; 30-520 Krakow","2015-05-23 20:27:57"
25,"Wedel","pl","ul. Zamoyskiego 28/30; 03-801 Warszawa","2015-05-23 20:27:57"
26,"J.D.Gross","de","Stiftsbergstr. 1; D-74167 Neckarsulm","2015-05-23 20:27:57"
27,"Sladka Vasen","sk","Racianska 44; 832 42 Bratislava","2015-05-23 20:27:57"
29,"Perugina","it","v.le Richard 5; 20143 Milano","2015-05-23 20:27:57"
30,"Nestlè Italia","it","v.le Richard 5; 20143 Milano","2015-05-23 20:27:57"
31,"Baratti e Milano","it","via Don Orione, 119/c; 12042 Bra (CN)","2015-05-23 20:27:57"
32,"Pichler","at","Kirchgasse 6, A-9920 Sillian","2015-05-23 20:27:57"
33,"Alcenero","it","via Idice, 299; 40050 Monterenzio (BO)","2015-05-23 20:27:57"
34,"Bovetti","fr","24120 Terrasson Lavilledieu","2015-05-23 20:27:57"
35,"Roshen","ua","26/9 Electricov St., 04176 Kiev, Ukraine","2015-05-23 20:27:57"
36,"Rococo","gb","5 Motcomb St, Belgravia, London SW1X 8JU","2015-05-23 20:27:57"
37,"Consilia","it","Piazza Meda 3, Milano","2015-05-23 20:27:57"
38,"Mondo Dolce","it","via Lazio, 95; 20090 Buccignasco (MI)","2015-05-23 20:27:57"
39,"Fazer","fi","P.O. Box 110, 00101 Helsinki","2015-05-23 20:27:57"
40,"Frey","ch","CH-5033 Buchs/Aargau","2015-05-23 20:27:57"
41,"Maglio","it","via V. Zara, 2 - Zona PIP - 73024 Maglie (LE)","2015-05-23 20:27:57"
42,"Favarger","ch","1290 - Versoix - Geneva","2015-05-23 20:27:57"
43,"Rizzati","it","via Ginestra 196; 44100 Cocomaro (FE)","2015-05-23 20:27:57"
44,"ChocoLate Orgàniko","es","Juan de Huarte de San Juan, 1; Nave-F 16 Alcalà de Henares","2015-05-23 20:27:58"
45,"Witor's","it","26010 Corte dè Frati, Cremona","2015-05-23 20:27:58"
46,"Leone","it","via Italia, 46; 10093 Collegno (TO)","2015-05-23 20:27:58"
47,"Valrhona","fr","26600 Tain l'Hermitage","2015-05-23 20:27:58"
48,"Camille Bloch","ch","2608 Courtelary","2015-05-23 20:27:58"
49,"Bonajuto","it","Corso Umberto I, 159 - 97015 Modica (RG)","2015-05-23 20:27:58"
50,"Coop","it","ICAM: via dei Pescatori, 53; Lecco (LC)","2015-05-23 20:27:58"
51,"Leysieffer","de","49076 Osnabruck","2015-05-23 20:27:58"
52,"Billa","it","Strada 7 Palazzo T3; Rozzano (MI)","2015-05-23 20:27:58"
53,"Oxicoa","it","via Meucci 11; Druento (TO)","2015-05-23 20:27:58"
54,"Noi Sirius","is","Hesthalsi 2-4; IS-110 Reykjavik","2015-05-23 20:27:58"
55,"Bellarom","de","David-Hansemann-Stasse 1-25; D-52531 Ubach-Palenberg","2015-05-23 20:27:58"
56,"Pence","th","49/17 Moo 4 Soi kingkaew 30, Kingkaew road; 10540 Samutprakarn","2015-05-23 20:27:58"
57,"ICAM","it","via pescatori 53; 23900 Lecco","2015-05-23 20:27:58"
58,"Ion","gr","El. Venizelou 69, Neo Faliro; 18547 Peireas","2015-05-23 20:27:58"
59,"Oscar","gr","19300 Aspropyrgos, Athens","2015-05-23 20:27:58"
60,"Caffarel","it","via Gianavello, 41; 10062 Luserna San giovanni (TO)","2015-05-23 20:27:58"
61,"Pavlidis","gr","Arystoteleoys 19-21; 14451 Metamorpos","2015-05-23 20:27:58"
62,"Linea dolomiti","it","via Mazzini 3, Limana Belluno","2015-05-23 20:27:59"
63,"Nestlè Grecia","gr","Patroklou str. 4; 15125 Paradissos Maroussi","2015-05-23 20:27:59"
64,"Trappisti","it","via Costa Rotonda, 2; Frattocchie, Roma","2015-05-23 20:27:59"
65,"El Rey","ve","Carrera A-2, Parcecelas A-23 y A-24, Barquismento, Edo. Lara","2015-05-23 20:27:59"
66,"Ulker","tr","Maltepe Mah. Davutsapa Cad. No: 10 34015; Zeytinburnu-Istanbul","2015-05-23 20:27:59"
67,"La Suissa","it","via Serravalle, 99; Arquata Scrivia (AL)","2015-05-23 20:27:59"
68,"Majani","it","via Brodolini, 16; Crespellano (BO)","2015-05-23 20:27:59"
69,"Sinergie","it","via Ticino, 10; 20090 Opera (MI)","2015-05-23 20:27:59"
70,"Amedei","it","via San Gervasio, 29; 56025 La Rotta - Pontedera (PI)","2015-05-23 20:27:59"
71,"Libero mondo","it","via Vittorio Emanuele, 282; 12042 Bra (CN)","2015-05-23 20:28:01"
72,"Trumpf","de","Senefelderstraße 44; ‎51469 Bergisch Gladbach","2015-05-23 20:28:01"
73,"Albert Heijn B.V.","nl","Provincialeweg 11; 1506 MA ZAANDAM","2015-05-23 20:28:01"
74,"Galler","be","39, Rue de la Station; 4051 Chaudfontaine","2015-05-23 20:28:02"
75,"Caprano","it","via Bertodano 6/a ; 13900 Biella","2015-05-23 20:28:02"
76,"Le Pain Quotidien","be","rue des Colonies 11; B-1000 Brussels","2015-05-23 20:28:02"
77,"Fair trade original","nl","Postbus 115; 4100 AC Culemborg","2015-05-23 20:28:02"
78,"Tony's chocolonely","nl","Polonceaukade 12; 1014 DA Amsterdam","2015-05-23 20:28:02"
79,"Koska","tr","Tozkoparan Mahallesi Metro Sokat 45; Gungoren INSTANBUL","2015-05-23 20:28:02"
80,"Kras","hr","Ravnice 48; 10000 Zagreb","2015-05-23 20:28:02"
81,"Giraudi","it","via Giraudi 498; 15073 Micarella, Castellazzo Bormida (AL)","2015-05-23 20:28:02"
82,"Casa don Pino Puglisi","it","Largo XI Febbraio, 15; 97015 Modica (RG)","2015-05-23 20:28:02"
83,"Despar","it","Casalecchio di Reno (BO)","2015-05-23 20:28:02"
84,"Zvecevo","hr","Prehrambena industrija d.d. Pozega, Kralja Zvonimira 1","2015-05-23 20:28:02"
85,"Giulio Vacilotto","it","via G. Pascoli 7; 31027 Lovadina (TV)","2015-05-23 20:28:03"
86,"Bambi","rs","Bulevar Mihaila Pupina 115g; Beograd, Serbia","2015-05-23 20:28:03"
87,"Mirco Della Vecchia","it","via Sass muss, 6; Sospirolo, Belluno","2015-05-23 20:28:03"
88,"Zaini","it","via Carlo Imbonati, 59; Milano","2015-05-23 20:28:03"
89,"Ghirardelli","us","San Leandro, CA, 94578","2015-05-23 20:28:03"
90,"Prodotti tipici iblei","it","via Calanchi Frigintini, 40/B; 97015 Frigintini - Modica (RG)","2015-05-23 20:28:03"
91,"Moser Roth","de","Waldstr. 27; 13403 Berlin","2015-05-23 20:28:03"
92,"Cuorenero","it","Monteroduni (IS)","2015-05-23 20:28:03"
94,"Sarotti","de","D-12277 Berlin","2015-05-23 20:28:03"
95,"Giordano","it","Leinì (TO)","2015-05-23 20:28:03"
96,"Dolce & amaro","it","","2015-05-23 20:28:03"
97,"Choceur","at","Hofer KG, A-4642 Sattledt, Gewerbestr. 20","2015-05-23 20:28:03"
98,"Nadalina","hr","LUXOR d.o.o. Put Majdana b.b. 21210 Solin","2015-05-23 20:28:03"
99,"Babaevsky","ru","","2015-05-23 20:28:03"
100,"Reber","de","83435 Bad Reichenhall","2015-05-23 20:28:03"
101,"Stainer","it","Novoleto, Pontremoli (MS)","2015-05-23 20:28:03"
102,"Pernigotti","it","viale della Rimembranza, 100; 15067 Novi Ligure (AL)","2015-05-23 20:28:03"
103,"Heidi","ro","Pantelimon, B-dul 87, Jud. Ilfov, Romania","2015-05-23 20:28:03"
104,"La cure gourmande","fr","5 rue Montgolfier, 34110 Frontignan","2015-05-23 20:28:03"
105,"Aiguebelle","ma","174, Route Ouled Ziane, Casablanca","2015-05-23 20:28:04"
106,"Regina","pt","Iperial 4480 Azurara, Vila do Conde","2015-05-23 20:28:04"
107,"El Beato","es","Traversia Francisco Tello 5; 42300 El burgo de Osma, Soria","2015-05-23 20:28:04"
108,"Gardini","it","via E. Benini, 38; 47121 Forlì (FC)","2015-05-23 20:28:04"
109,"Pasticceria antico castello","it","via dell'industria, 5/A; 44043, Mirabello (FE)","2015-05-23 20:28:04"
110,"Dolomites","it","Via Puez, 1A; 39048 Selva Val Gardena (BZ)","2015-05-23 20:28:04"
111,"Atlante","it","via 2 giugno 1946, 8; 40033 Casalecchio di Reno (BO)","2015-05-23 20:28:04"
112,"Michel Cluizel","fr","Routes de conches; 27240 Damville","2015-05-23 20:28:04"
113,"XocoArt","it","via Marchesi, 10; Parma","2015-05-23 20:28:04"
114,"Tesco","gb","Cheshunt EN8 9SL","2015-05-23 20:28:04"
115,"Slitti","it","Via Franscesca sud, 1268; Monsummano Terme (PT)","2015-05-23 20:28:04"
116,"Kernow Chocolate","gb","St. Eval, Wadebridge; Cornwall PL27 7UE","2015-05-23 20:28:04"
117,"Schmerling's","ch","Spindelstrasse 2; 8041 Zürich","2015-05-23 20:28:04"
118,"Colle","it","Piazza Fiume, 2; 13900 Biella","2015-05-23 20:28:04"
119,"Ottochocolates","it","via B. Castello 17/R; 16121 Genova","2015-05-23 20:28:04"
120,"Vale","it","via C.Colombo, 51; 20090 Trezzano s/N (MI)","2015-05-23 20:28:04"
121,"Toms Ekstra","dk","Toms Allé 1; DK-2750 Ballerup","2015-05-23 20:28:04"
122,"BruCo","it","via Don Battistoni, 11; 60035 Jesi (An)","2015-05-23 20:28:04"
123,"Bjoernsted","de","Diebrocker Str. 17; D-32051 Herford","2015-05-23 20:28:05"
124,"Belgian","be","Geelseweg 72; 2pt0 Olen","2015-05-23 20:28:05"
125,"Cora","be","Zl 4° ru; B-6040 Jumet","2015-05-23 20:28:05"
126,"Planet chocolate","be"," Rue du Lombard 24 - 1000 Bruxelles","2015-05-23 20:28:05"
127,"VizioVirtù","it","San Polo 2898-a; 30125 Venezia","2015-05-23 20:28:05"
128,"Rivoli","it","Cirras; 09096 Santa Giusta (OR)","2015-05-23 20:28:05"
129,"Guido Gobino","it","via Cagliari 15/B; 10153 Torino","2015-05-23 20:28:05"
130,"Moser Roth IE","ie","po box 26, Atherstone, Warwickshire CV9 2SH","2015-05-23 20:28:05"
131,"Guinness","ie","Navan IDA Business Park, Johnstone, Navan, Co. Meath","2015-05-23 20:28:05"
134,"Cote d'or","be","Stationsstraat 100; 2800 Mechelen","2015-05-23 20:28:05"
135,"Nestlè","ch","Vevey","2015-05-23 20:28:05"
136,"Butlers","ie","51Grafton Street; Dubiln 2","2015-05-23 20:28:05"
137,"Isis","dk","Aarhus","2015-05-23 20:28:05"
138,"Loacker","it","I-39054 Unterinn; Auna di sotto (BZ)","2015-05-23 20:28:05"
139,"Kate Kearney's","ie","Fonthill Road, Dublin 22","2015-05-23 20:28:05"
140,"Sperlari","it","via Milano 16; Cremona","2015-05-23 20:28:05"
141,"The chocolate line","be","Simon Stevinplein 19 - 8000 Brugge","2015-05-23 20:28:05"
142,"Pacari","ec","Julio Zaldumbide N24-676 y Miravalle; Quito","2015-05-23 20:28:05"
143,"Fredric Blondeel","be","Basteenkaai 36 - 1000 Brussel","2015-05-23 20:28:05"
144,"Wittamer","be","Place du Grand Sablon, 2 - 1000 Bruxelles","2015-05-23 20:28:05"
145,"Cioccolateria Dolomiti","it","Via dell'Artigianato, 20; Belluno","2015-05-23 20:28:06"
146,"Menakao","mg","BP 4101 Ambohidratrimo Antananarivo 101","2015-05-23 20:28:06"
147,"Simon Coll","es","Sant Pere, 37; 08770 Sant Sadurnì d'Anoia, Barcelona","2015-05-23 20:28:06"
148,"Marou","vn","Saigon","2015-05-23 20:28:06"
149,"EquoLink","it","Via Masaccio 21; Reggio nell'Emilia (RE)","2015-05-23 20:28:06"
150,"Seed and Bean","gb","8-12 Woodhouse road, London N12 ORG","2015-05-23 20:28:06"
151,"Gay Odin","it","Via Vetriera, 12; Napoli","2015-05-23 20:28:06"
152,"Alprose","ch","CH-6987 Caslano-Lugano","2015-05-23 20:28:06"
153,"Altraqualità","it","via Toscanini, 11; Ferrara","2015-05-23 20:28:06"
154,"Pierre Marcolini","be","Place du Grand Sablon - 1000 Bruxelles","2015-05-23 20:28:06"
155,"Stella","ch","via alle Gerre 28, 6512 Giubiasco","2015-05-23 20:28:06"
156,"Darcis","be","Crapaurue 123, Verviers","2015-05-23 20:28:06"
157,"Artisan du chocolat","gb","The Long Barrow, Orbital Park, Ashford Kent TN240GP.","2015-05-23 20:28:06"
158,"B by B","be","Sint Amandstraat 39, 8000 Brugge","2015-05-23 20:28:06"
159,"Adelia Di Fant","it","via Garibaldi 26; san Daniele del Friuli","2015-05-23 20:28:06"
160,"Milka","it","via Nizzoli, 3; Milano (MI)","2015-05-23 20:28:06"
161,"Cioccolateria Veneziana","it","Via Chiesanuova 91, 30027; San Donà di Piave (VE)","2015-05-23 20:28:06"
162,"Bruyerre","be","Rue FL Bruyerre, 34; B-6041 Gosselies","2015-06-21 15:21:50"
164,"Claudio Corallo","st","S.A.S. Lda.","2015-06-21 15:31:28"
165,"Conad","it","via Michelino 59; Bologna","2015-06-21 15:37:24"
166,"Bonnat","fr","8 cours Sénozan; BP 48; 38502 Voiron","2015-06-21 15:47:29"
167,"T'a","it","via Monte Grappa 4; Cerro Maggiore (MI)","2015-06-21 15:54:48"
168,"Chocopolis","be","Rue du Marché aux Herbes 81, 1000 Bruxelles","2015-06-21 15:58:44"
169,"Go*do","it","via Pescatori 53; 23900 Lecco","2015-08-09 16:23:49"
170,"Continente","pt","Apartado 60111, 2701-997 Amadora","2015-08-09 16:29:17"
171,"Chocolataria Equador","pt","R. da Misericórdia 72, Lisboa, Portugal","2015-08-09 16:33:56"
172,"Casa Grande","pt","Rua S. Joao, 4760-721 Ribeirao","2015-08-09 16:36:45"
173,"Pingo doce","pt","Rua Actor Antonio Silva, 7; 1649-033 Lisboa","2015-08-09 17:00:53"
175,"Guido Castagna","it","via Torino, 54; 10094 Giaveno (TO)","2015-10-11 14:34:12"
176,"Il modicano","it","via Mercè, 69; 97015 Modica (RG)","2015-10-11 14:35:47"
177,"Bodrato","it","str. del Turchino, 41; 15067 Novi Ligure (AL)","2015-10-11 14:37:39"
178,"Delhaize group","be","Rue Osseghemstraat 53; B-1080 Brussels","2015-10-11 14:41:19"
179,"Dolciando","it","via Campalto, 3/D; 37036 San Martino B.A. (VR)","2015-10-11 14:43:08"
180,"Cémoi","fr","avenue Julien Pachot CS00002; 66968 Perpignan Cedex 9","2015-10-11 14:48:11"
181,"Cioccolato croci","it","via P.CLotilde 6/a; Torino","2015-11-22 17:21:25"
182,"Blanxart","es","Tambor del Bruc, 13-17; 08970 Sant Joan Despì, Barcelona","2015-11-22 17:33:54"
183,"Borgodoro","it","via Collegno, 49; Alignano (TO)","2015-11-22 17:41:29"
184,"Green Dream","be","Noorwegenstraat 19; 9940 Evergem","2015-11-22 18:11:55"
185,"Ciokarrua","it","via sacro cuore 64/e; 97015 Modica (RG)","2015-11-22 18:23:53"
186,"Antica Dolceria Rizza","it","via Sacro Cuore 64; Modica (RG)","2015-11-22 18:29:23"
187,"Les chocolates di Pauline","fr","Z.A. La Grande Chevasse; 85260 St Sulpice Le Verdon","2016-01-01 16:09:15"
188,"Nutal SRL","it","Via Cave Rosse 11/a; 12073 Ceva (CN)","2016-01-01 16:32:59"
189,"Chocolate Amatller","es","Sant Pere, 37; 08770 Sant Sadurnì d'Anoia, Barcelona","2016-01-01 16:41:35"
190,"Chocolates valor","es","Pianista Conzalo Soriano, 13; 03570 Villajoyosa, Alicante","2016-01-01 16:57:45"
191,"Alnatura","de","Darmstadter strasse, 63; D-64404 Bickenbach","2016-01-01 17:03:39"
192,"Tirma","es","Avda de Escaleritas, 104; 35011 Las Palmas de G.C.","2016-01-01 17:06:59"
